maxcalls        fmin    x0      x1      x2      x3      x4      time
1       255     -9      -8      -7      -6      -5      65
2       255     -9      -8      -7      -6      -5      64
4       255     -9      -8      -7      -6      -5      126
8       195.94151370323868      0.41786597155736693     0.44069358951524151     3       -10.640089583767338     -0.4213084906922111     2053
16      50.87202697536646       0.99999998030211956     -0.53193018899214106    0.80196587181554446     1.2752296099942626      3.0161906152567477      3255
32      46.843792334001243      0.99999999999964595     -0.51222862072141762    0.80039934303810867     1.2109798561931318      3.0062265446153238      4943
64      24.167709073467321      0.89609592953225947     -0.76712071692656447    0.96612582767885691     1.0483194991092435      2.959759751717316       8035
128     13.014067588042936      0.98840906448169519     -0.97671417511686309    0.99004896613120863     0.99610454287259387     2.9859532509137128      14362
256     12.93443746986018       0.99495863921671068     -0.99495863665221107    0.99495864314274585     0.99495863807698348     2.9848556978739413      31032
512     12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       76648
1024    12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       219138
2048    12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       724598
4096    12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       2836151
8192    12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       11640305
16384   12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       48790406
32768   12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       205702247
65536   12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       929190892
131072  12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       5711239773
262144  12.934437469860177      0.99495863921704863     -0.9949586366525407     0.994958643143251       0.99495863807743623     2.984855697874488       35054028156
