maxcalls	fmin	x0	x1	x2	x3	time
1	85	-1.5	-0.5	0.5	1.5	204
2	51.119673496353627	-2.8336366463153086	0.81325156807596111	-1.2680349379097369	0.40900944952255824	67
4	40.356648370779517	-1.7828033157156464	-2.3248136351414934	0.8425042077234246	2.0113798807048573	125
8	27.024636789941745	-1.9056161376586971	1.9667629850124753	-1.6997195013631368	-0.93913426068553796	2029
16	22.38879103004372	-3.983769946923005	0.94592610498108898	-2	-1	3281
32	21.987813235510785	-3.9820208333093681	1.0165913409385439	-1.989717863849275	-1	5226
64	21.893168153511951	-3.9810627077433685	0.99755314294785036	-1.9863530721376581	-0.99519667780980725	6833
128	21.88899309720221	-3.9797838617117556	0.99495863665904516	-1.989912230359455	-0.9949586333480549	12781
256	11.939478412766944	0.99495862375279764	-0.99495863602590007	2.9848556943867588	0.9949586440779804	23484
512	6.9684580870868764	-0.99240770463797412	-0.99220576905861402	0.99715547863019005	1.9899354464399122	60742
1024	6.9647083618339565	-0.99495863847528998	-0.99495863733768242	0.99495863671269558	1.989912233488544	201516
2048	6.9647083618339565	-0.99495863847528998	-0.99495863733768242	0.99495863671269558	1.989912233488544	702307
4096	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	2598971
8192	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	12735490
16384	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	47184790
32768	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	214415882
65536	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	995244870
131072	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	4995122725
262144	1.9899181141865814	1.8343243579492742e-09	-2.8291237940915501e-11	-0.99495863756807534	-0.99495863822844999	29303593823
