maxcalls	fmin	x0	x1	time
1	42.5	-1.5	-0.5	409
2	19.803960063568937	-2.8336366463153086	0.81325156807596111	66
4	5.2293711106362464	0.97889739157606837	1.957727795475221	531
8	5	1	2	6313
16	5	1	2	3069
32	3.0410841540698481	-0.95999902049941799	-1.05918192383442	4177
64	1.9899181141865832	-0.99495863768041493	-0.99495863757240455	5914
128	1.9899181141865814	-0.99495863830682418	-0.99495863689220143	10312
256	0.99495905709332888	-0.99495862536566482	5.8843692018879374e-09	22557
512	0.9949590570932898	-0.99495863793733463	7.6144655683128104e-12	52886
1024	0.9949590570932898	-0.99495863793733463	7.6144655683128104e-12	165965
2048	0	-9.0779223733563788e-10	4.9490001627295877e-11	563811
