maxcalls	fmin	x0	x1	x2	time
1	194	-9	-8	-7	81
2	194	-9	-8	-7	88
4	130.71610687762109	0.97049651210289412	-9.5213687291937532	2.7241785582080063	660
8	25.105857864885198	0.88206292234707107	0.67028580648798908	-2.1032346099142458	5139
16	5.875489796227594	1	0.84946129452967301	-0.0046777170026977011	8988
32	2.1536686453555483	1	1.0012148551186237	-0.027617928975399206	4815
64	1.9899181141865814	0.99495863776268556	0.99495863644086469	4.6827036430147363e-10	7212
128	1.9899181141865814	0.99495863776268556	0.99495863644086469	4.6827036430147363e-10	13036
256	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	27539
512	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	64075
1024	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	182558
2048	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	639757
4096	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	2611620
8192	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	10525603
16384	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	45571786
32768	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	189861363
65536	1.9899181141865796	0.99495863776287874	0.99495863644414928	4.7194139381821082e-10	805874199
