maxcalls	fmin	x0	x1	x2	time
1	62.75	-1.5	-0.5	0.5	147
2	32.542617677926557	-2.8336366463153086	0.81325156807596111	-1.2680349379097369	59
4	10.496670033859186	0.93975036040724813	1.9434916717279256	-1.9380215265846414	514
8	9.2454853884947426	-0.95929793135260688	2	-2	4036
16	9.2454853884947426	-0.95929793135260688	2	-2	5812
32	9.0353132689310733	-0.97554458605674355	1.9845365835771076	-1.9913771969847016	4041
64	8.9546214382014817	-0.99495863166622622	1.9899122328706036	-1.9899122263592615	5892
128	8.9546214382014817	-0.99495863166622622	1.9899122328706036	-1.9899122263592615	9678
256	1.001521753360219	0.0014525710338930155	0.98943412207623715	-0.00069181857645808642	23345
512	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	54005
1024	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	170237
2048	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	644866
4096	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	3199724
8192	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	11469541
16384	0.9949590570932898	6.5797060927641268e-10	0.9949586383930622	-4.8310597517330433e-10	46365127
32768	0	-4.6996831537180013e-10	-8.4803759585732808e-11	-3.0836501231746616e-10	198877893
